scenario,month,year,hours,probability,time_basis
1,January,2025,744,0.08333333333333333,UTC
2,February,2025,672,0.08333333333333333,UTC
3,March,2025,744,0.08333333333333333,UTC
4,April,2025,720,0.08333333333333333,UTC
5,May,2025,744,0.08333333333333333,UTC
6,June,2025,720,0.08333333333333333,UTC
7,July,2025,744,0.08333333333333333,UTC
8,August,2025,744,0.08333333333333333,UTC
9,September,2025,720,0.08333333333333333,UTC
10,October,2025,744,0.08333333333333333,UTC
11,November,2025,720,0.08333333333333333,UTC
12,December,2025,744,0.08333333333333333,UTC
