case,case_name,scenario,probability,hours,cost_USD,grid_import_MWh,grid_export_MWh,res_used_MWh,res_curt_MWh,p2a_MWh,el_stack_MWh,matched_MWh,nh3_kg,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW,simul_imp_exp_hours,imp_with_curt_hours
0,NO_MATCH,1,0.0833333333,744,0.0481160513,0.0008019342,0.0000000000,71070.1338162671,39954.4875037327,71070.1346182013,62613.3301741210,67289.2661634704,6623138.7951119766,15291.9607534642,46407.4671641972,3780.8676527964,376.2316557678,2.3942805003,0,0
0,NO_MATCH,2,0.0833333333,672,0.0000000000,0.0000000000,0.0000000000,63937.0934983336,49800.0050216664,63937.0934983336,56298.6894843254,60522.1155392213,5982189.8794559957,21248.3048275079,28101.9643999740,3414.9779591115,833.3530712186,3.6362104317,0,0
0,NO_MATCH,3,0.0833333333,744,54081.1126746517,901.3518779109,0.0000000000,70135.9321918754,29511.3798481244,71037.2840697865,62580.4796257061,67256.4156150556,6623138.7951120026,5584.7078203868,42602.1088021446,2879.5165768198,114.4153491371,-39.9175013051,0,0
0,NO_MATCH,4,0.0833333333,720,25843.2177410956,430.7202956849,0.0000000000,68247.2281921388,22041.1537678609,68677.9484878237,60493.9441871010,65019.0435316327,6409489.1565600000,17630.7719282858,30993.5621131955,3228.1846605060,225.7274881673,-44.7857635993,0,0
0,NO_MATCH,5,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70748.4954376515,62525.3094423488,70748.4954376515,62291.6909935706,66967.6269829198,6623138.7951120073,21664.3219060226,28665.4709901055,3780.8684547306,369.9223199649,3.5745847413,0,0
0,NO_MATCH,6,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68427.3843605647,71170.9288794356,68427.3843605647,60243.3800598412,64768.4794043725,6409489.1565600047,22953.5010114435,29258.7103087035,3658.9049561909,244.3594114052,3.6053975865,0,0
0,NO_MATCH,7,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70693.9864370280,99879.9073229724,70693.9864370280,62237.1819929468,66913.1179822959,6623138.7951120073,23497.5537929719,27274.6146982878,3780.8684547306,369.1551567817,4.2495505674,0,0
0,NO_MATCH,8,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70706.8392926964,111090.5021873040,70706.8392926964,62250.0348486152,66925.9708379643,6623138.7951120129,22286.6902191583,28455.7890126787,3780.8684547306,368.6356382020,3.9113454281,0,0
0,NO_MATCH,9,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68410.9143986666,136180.8974413338,68410.9143986666,60226.9100979429,64752.0094424742,6409489.1565600010,21378.8208354374,25322.3444294385,3658.9049561909,241.9908974932,4.6522872100,0,0
0,NO_MATCH,10,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70691.5737978819,148658.9430421184,70691.5737978819,62234.7693538006,66910.7053431497,6623138.7951120064,23302.6599116895,27686.7978873371,3780.8684547306,369.3065523351,4.5299781003,0,0
0,NO_MATCH,11,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68417.2293046319,112935.0356153685,68417.2293046319,60233.2250039083,64758.3243484396,6409489.1565600038,22398.8978234970,25575.4436885681,3658.9049561909,244.7586330904,4.0345263849,0,0
0,NO_MATCH,12,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70694.6008510255,97439.1429089749,70694.6008510255,62237.7964069443,66913.7323962934,6623138.7951119998,22926.1012997901,26405.0405077055,3780.8684547306,366.4951943527,3.9880761033,0,0
1,MONTHLY,1,0.0833333333,744,0.0132988534,0.0002216476,0.0000000000,71085.0550810323,39939.5662389466,71085.0553027009,62628.2508586206,67304.1868479699,6623138.7951119859,22560.3832954247,48180.0000004075,3780.8682330620,386.1623153635,2.3942805003,0,0
1,MONTHLY,2,0.0833333333,672,0.0000000000,0.0000000000,0.0000000000,63945.3787776478,49791.7197423525,63945.3787776478,56306.9747636395,60530.4008185353,5982189.8794559957,10553.9072921815,48180.0000002025,3414.9779591115,829.4944155173,3.6362104317,0,0
1,MONTHLY,3,0.0833333333,744,54081.1113259337,901.3518554322,0.0000000000,70135.9321918753,29511.3798481454,71037.2840473077,62580.4796032275,67256.4155925768,6623138.7951120213,11363.1760850487,48180.0000000000,2879.5165992984,98.1146116607,-39.9175013051,0,0
1,MONTHLY,4,0.0833333333,720,25843.2122545024,430.7202042417,0.0000000000,68247.2281921387,22041.1537678610,68677.9483963804,60493.9440956578,65019.0434401894,6409489.1565600000,13195.0170907017,35010.1035855929,3228.1847519492,216.1503661659,-30.9520613051,0,0
1,MONTHLY,5,0.0833333333,744,0.0415109501,0.0006918492,0.0000000000,70758.8166619515,62514.9882180485,70758.8173538007,62302.0129097200,66977.9488990693,6623138.7951120492,23610.7727935403,48180.0000000000,3780.8677628815,371.9217563756,3.5745847413,0,0
1,MONTHLY,6,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68427.3844197796,71170.9288202209,68427.3844197796,60243.3801190559,64768.4794635873,6409489.1565600382,22134.3971071635,48180.0000002025,3658.9049561909,241.4824187215,3.6053975865,0,0
1,MONTHLY,7,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70696.5143284280,99877.3794315717,70696.5143284280,62239.7098843474,66915.6458736968,6623138.7951120976,22364.7820567450,48180.0000004075,3780.8684547307,368.8060034832,3.9188110881,0,0
1,MONTHLY,8,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70711.8522221793,111085.4892578204,70711.8522221793,62255.0477780987,66930.9837674481,6623138.7951120883,19872.8005831545,48180.0000000000,3780.8684547307,352.4852846321,3.9113454281,0,0
1,MONTHLY,9,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68410.9145052531,136180.8973347470,68410.9145052531,60226.9102045298,64752.0095490614,6409489.1565600941,23035.7001457886,48180.0000000000,3658.9049561910,245.9639754286,4.6522872100,0,0
1,MONTHLY,10,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70691.5739873686,148658.9428526318,70691.5739873686,62234.7695432874,66910.7055326367,6623138.7951120604,23994.1545587081,48180.0000002025,3780.8684547307,382.7893052745,4.5299781003,0,0
1,MONTHLY,11,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68420.3266427434,112931.9382772566,68420.3266427434,60236.3223420202,64761.4216865518,6409489.1565600904,21598.0185264095,48180.0000000000,3658.9049561910,236.5515311242,3.9188110881,0,0
1,MONTHLY,12,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70694.8575624292,97438.8861975710,70694.8575624292,62238.0531183483,66913.9891076974,6623138.7951120660,21693.8639677014,48180.0000004075,3780.8684547307,357.7433810277,4.2863352445,0,0
2,WEEKLY,1,0.0833333333,744,0.0451704074,0.0005716528,108.7124193234,71184.1888739681,39840.4324460318,71075.4770262974,62618.6725822172,67294.6085715665,6623138.7951119719,15326.0140581301,40536.1505008546,3889.5803024013,386.5808620810,2.9346215689,0,0
2,WEEKLY,2,0.0833333333,672,0.0036756337,0.0000000000,36.7563371880,63977.1262415367,49759.9722784634,63940.3699043486,56301.9658903405,60525.3919452363,5982189.8794559957,20477.3828408719,27286.0139259790,3451.7342962996,851.2413261847,3.6362104317,0,0
2,WEEKLY,3,0.0833333333,744,54081.1119020911,901.3518650349,0.0000000000,70135.9321918754,29511.3798481244,71037.2840569104,62580.4796128300,67256.4156021796,6623138.7951120064,7330.5023205918,45055.9512757530,2879.5165896958,136.3500439538,-43.2366575206,0,0
