scenario,case,duration,start,direction,envelope,deltaP_MW,baseline_window_avg_MW,activated_window_avg_MW,grid_import_MWh,grid_export_MWh,res_used_MWh,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW
3,1,1,1,INC,PHYS,0.59857013,106.72863180,107.32720193,8843.32037079,9888.75945468,72824.13706576,2408.99999901,48180.00000025,4826.30753862,-3117.66550674,-101.68074366
3,1,1,1,INC,RM,0.59857013,106.72863180,107.32720193,13522.70309697,9742.55516278,67682.01926749,23836.68649418,48180.00000099,0.72052054,-4887.17475626,-101.68074366
3,1,1,1,DEC,PHYS,104.33435130,106.72863180,2.39428050,22610.78951612,0.00000000,48692.23699784,2408.99999901,27754.32173474,-18829.92106139,-9289.48928373,-101.68074366
3,1,1,1,DEC,RM,104.33435130,106.72863180,2.39428050,12111.31585048,8330.44739575,67367.50117034,2408.99999950,24090.00000000,0.00000000,-4382.50981137,-101.68074366
3,1,1,169,INC,PHYS,0.00000000,107.32720193,107.32720193,27477.57680827,9121.51130666,52873.58155744,2408.99999950,47816.66679484,-14575.19704687,-7994.87846620,-101.68074366
3,1,1,169,INC,RM,0.00000000,107.32720193,107.32720193,19191.21866628,15963.24328377,67978.33039091,2820.73740087,47816.66679484,552.89307221,-3127.96511896,-101.68074366
3,1,1,169,DEC,PHYS,104.93292143,107.32720193,2.39428050,26900.07671009,9253.59862616,53583.48525830,2408.99999950,47816.66679484,-13865.60962919,-7497.86590039,-101.68074366
3,1,1,169,DEC,RM,104.93292143,107.32720193,2.39428050,19923.14324175,16695.16785923,67962.00183306,17647.96682457,47816.66679484,552.89307221,-3998.00293323,-101.68074366
3,1,1,337,INC,PHYS,63.84856236,43.47863956,107.32720193,29909.62997117,13239.88883687,54369.16298844,2408.99999950,36320.64656287,-12888.87267959,-8026.13656753,-101.68074367
3,1,1,337,INC,RM,63.84856236,43.47863956,107.32720193,23403.07493039,16811.78372849,64407.60932077,2409.00000000,36669.80546453,-2810.42274724,-3301.07852133,-101.68074367
3,1,1,337,DEC,PHYS,41.08435906,43.47863956,2.39428050,30526.43035685,13289.39894725,53757.25810277,2408.99999975,35302.64187215,-13456.16295493,-8194.37939142,-101.68074367
3,1,1,337,DEC,RM,41.08435906,43.47863956,2.39428050,23464.51847180,16527.33472616,64055.40890073,2408.99999980,41174.19881465,-3156.31529096,-3651.43086479,-101.68074367
3,1,1,505,INC,PHYS,0.00000000,107.32720193,107.32720193,28099.37515281,10238.78284114,53405.27851909,2408.99999901,24090.00000000,-14079.72385694,-8862.78561235,-101.68074366
3,1,1,505,INC,RM,0.00000000,107.32720193,107.32720193,27992.20469713,10434.00035269,53492.06665008,2408.99999980,24090.00000000,-13777.33588973,-8546.47987241,-101.68074367
3,1,1,505,DEC,PHYS,104.93292143,107.32720193,2.39428050,28305.52470943,10336.55706706,53078.77198080,2408.99999939,24286.39996435,-14188.09918764,-8487.68266984,-101.68074367
3,1,1,505,DEC,RM,104.93292143,107.32720193,2.39428050,24883.33405453,357.38192812,46588.96613897,2408.99999901,24090.00000000,-20745.08367169,-8654.23985507,-101.68074369
3,1,1,673,INC,PHYS,0.00000000,107.32720193,107.32720193,41069.47423923,3010.02691379,33015.44406800,2409.00000000,24134.49605049,-34278.57887071,-13910.23468758,-101.68074366
3,1,1,673,INC,RM,0.00000000,107.32720193,107.32720193,41461.57940382,327.73675707,29874.36335995,2409.00000000,24090.00000000,-37352.97419228,-14146.45413172,-101.68074372
3,1,1,673,DEC,PHYS,104.93292143,107.32720193,2.39428050,43711.59739602,3020.21523963,30347.39989759,2408.99999939,24090.00000000,-36910.51370165,-14131.82011763,-101.68074369
3,1,1,673,DEC,RM,104.93292143,107.32720193,2.39428050,43958.72387548,3028.76476858,30101.75042328,2408.99999959,24090.00000000,-37149.09065260,-14168.53567996,-101.68074370
3,1,4,1,INC,PHYS,0.59857013,101.84879385,102.96958687,7173.98899226,4328.68909865,68304.94904854,2408.99999901,24090.00000025,935.56856112,-2278.22926855,-101.68074366
3,1,4,1,INC,RM,0.59857013,101.84879385,102.96958687,10736.15754336,7391.84078969,67817.19023914,2409.00000000,24725.41235954,436.55170106,-3240.27708269,-101.68074366
3,1,4,1,DEC,PHYS,84.81499950,101.84879385,2.54392303,7432.79599752,5318.14303774,69048.68084019,16854.36351532,48180.00000000,1666.21549495,-2719.97154350,-101.68074366
3,1,4,1,DEC,RM,84.81499950,101.84879385,2.54392303,11733.20470044,7952.33624571,67371.27473792,2408.99999901,24090.00000000,-0.00000000,-3865.08012091,-101.68074366
3,1,4,169,INC,PHYS,0.00000000,107.32720193,107.32720193,36668.10399377,9121.51130666,43668.62397082,2416.56984636,47816.66679484,-23765.72423238,-10390.58671874,-101.68074366
3,1,4,169,INC,RM,0.00000000,107.32720193,107.32720193,18785.79359867,15557.81821615,67897.47492363,17647.96682457,47816.66679484,552.89307221,-3250.64266860,-101.68074366
3,1,4,169,DEC,PHYS,104.93292143,107.32720193,2.39428050,34480.49669712,9121.51130666,45844.51163640,2408.99999975,47816.66679484,-21578.11693573,-8977.44578375,-101.68074366
