scenario,case,duration,direction,n_samples,mean_phys_MW,mean_rm_MW,retained_sum_ratio,phys_avail_ge1_frac,rm_avail_ge1_frac,min_phys_MW,max_phys_MW,min_rm_MW,max_rm_MW,rm_gt_phys_count
3,1,1,INC,5,12.88942650,12.88942650,1.00000000,0.20000000,0.20000000,0.00000000,63.84856236,0.00000000,63.84856236,0
3,1,1,DEC,5,92.04349493,92.04349493,1.00000000,1.00000000,1.00000000,41.08435906,104.93292143,41.08435906,104.93292143,0
3,1,4,INC,5,12.88942650,12.88942650,1.00000000,0.20000000,0.20000000,0.00000000,63.84856236,0.00000000,63.84856236,0
3,1,4,DEC,5,80.22368230,80.22368230,1.00000000,1.00000000,1.00000000,41.08435906,104.93292143,41.08435906,104.93292143,0
3,1,12,INC,5,7.78352241,7.78352241,1.00000000,0.20000000,0.20000000,0.00000000,38.31904193,0.00000000,38.31904193,0
3,1,12,DEC,5,50.80570378,50.80570378,1.00000000,1.00000000,1.00000000,19.21259228,75.92823950,19.21259228,75.92823950,0
3,2,1,INC,5,12.88942650,12.88942650,1.00000000,0.20000000,0.20000000,0.00000000,63.84856236,0.00000000,63.84856236,0
3,2,1,DEC,5,92.04349493,92.04349493,1.00000000,1.00000000,1.00000000,41.08435906,104.93292143,41.08435906,104.93292143,0
3,2,4,INC,5,12.76971247,12.76971247,1.00000000,0.20000000,0.20000000,0.00000000,63.84856236,0.00000000,63.84856236,0
3,2,4,DEC,5,80.14387295,80.14387295,1.00000000,1.00000000,1.00000000,41.08435906,104.33435130,41.08435906,104.33435130,0
3,2,12,INC,5,7.66380839,7.66380839,1.00000000,0.20000000,0.20000000,0.00000000,38.31904193,0.00000000,38.31904193,0
3,2,12,DEC,5,49.67447689,49.67447689,1.00000000,1.00000000,1.00000000,19.26173786,75.92823950,19.26173786,75.92823950,0
3,3,1,INC,5,21.22601234,0.24258325,0.01142858,0.20000000,0.00000000,0.00000000,104.93292143,0.00000000,0.59857013,0
3,3,1,DEC,5,83.70690909,0.35240923,0.00421004,0.80000000,0.00000000,0.00000000,104.93292143,0.00000000,0.59857013,0
3,3,4,INC,5,20.98658429,0.00078880,0.00003759,0.20000000,0.00000000,0.00000000,104.93292143,0.00000000,0.00394400,0
3,3,4,DEC,5,71.05058780,0.00000000,0.00000000,0.80000000,0.00000000,0.00000000,104.33435130,0.00000000,0.00000000,0
3,3,12,INC,5,6.80489903,0.00026293,0.00003864,0.20000000,0.00000000,0.00000000,34.02449514,0.00000000,0.00131467,0
3,3,12,DEC,5,39.36285937,0.00000000,0.00000000,0.80000000,0.00000000,0.00000000,80.44230946,0.00000000,0.00000000,0
