scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0763358779,720,27030.17296613,0.00000000,0.00000000,69065.82124109,118328.08128557,69065.82124109,65406.91628490,6409489.15656000,1351.50864810,13610.93187758
2,0.0992366412,744,27030.17296613,0.00000000,0.00000000,70938.29840524,195602.34060354,70938.29840524,67157.42995051,6623138.79511203,1351.50864687,27030.17296613
3,0.1068702290,744,27030.17296613,60.66155119,0.00000000,71179.63035471,74601.95392024,71240.29190590,67459.42345117,6623138.79511192,1351.50864585,27030.17296613
4,0.0916030534,720,27030.17296613,0.00000000,0.00000000,68682.46433122,129573.26306468,68682.46433122,65023.55937502,6409489.15656003,1351.50864810,27030.17296675
5,0.0839694656,720,27030.17296613,0.00000000,0.00000000,68656.94809372,193462.93070524,68656.94809294,64998.04313675,6409489.15656000,1351.50864790,27030.17296654
6,0.1068702290,696,27030.17296613,13.40629678,0.00000000,66690.36187334,45786.09516316,66703.76817114,63166.82671348,6195839.51800796,1351.50864113,24906.28074132
7,0.0381679389,720,27030.17296613,925.79327212,0.00000000,67932.38106626,31531.17155931,68858.17433893,65199.26938274,6409489.15655999,4827.74412121,27030.17296613
8,0.0610687023,744,27030.17296613,0.00000000,0.00000000,71394.77145697,172420.30570570,71394.77145697,67613.90300138,6623138.79511202,1351.50864749,27030.17296695
9,0.0610687023,744,27030.17296613,0.24627345,0.00000000,71299.55493918,67911.71526559,71299.80121352,67518.93275930,6623138.79511198,1351.50864708,27030.17296921
10,0.0610687023,744,27030.17296613,0.00000000,0.00000000,71030.67078560,67060.49830447,71030.67078606,67249.80233133,6623138.79511204,1351.50864728,27030.17296675
11,0.0992366412,720,27030.17296613,0.00000000,0.00000000,68709.88606162,163082.32698299,68709.88606110,65050.98110490,6409489.15656002,1351.50864769,27030.17296654
12,0.1145038168,744,27030.17296613,0.00000000,0.00000000,71163.45574342,136001.57058535,71163.45574324,67382.58728869,6623138.79511201,1351.50864749,27030.17296777
