case,case_name,scenario,probability,hours,cost_USD,grid_import_MWh,grid_export_MWh,res_used_MWh,res_curt_MWh,p2a_MWh,el_stack_MWh,matched_MWh,nh3_kg,h2_min_kg,h2_max_kg,monthly_margin_MWh,hourly_min_margin_MW,simul_imp_exp_hours,imp_with_curt_hours
0,NO_MATCH,1,0.1450381679,744,1295.2732657811,21.5878877630,0.0000000000,71006.7329848474,75025.8644551520,71028.3208726104,62571.5164285304,67247.4524178799,6623138.7951120334,1396.0000000000,27920.0000000000,3759.2805669677,-2.4984977969,0,0
0,NO_MATCH,2,0.1755725191,744,0.0010000000,0.0000166667,0.0000000000,70762.7277940335,135923.5147859673,70762.7278107002,62305.9233666208,66981.8593559682,6623138.7951119393,1396.0000000000,19902.8961443709,3780.8684380639,4.3053384063,0,0
0,NO_MATCH,3,0.1068702290,696,772.0679801196,12.8677996687,0.0000000000,66555.3949157321,45325.6338242680,66568.2627154008,58657.0585580351,63031.3212577490,6195839.5180080142,1396.0000000000,27238.5215446686,3524.0736579826,0.0000000000,0,0
0,NO_MATCH,4,0.0381679389,720,46609.2317476280,776.8205291271,0.0000000000,67960.6984458006,30951.1770741991,68737.5189749278,60553.5146742051,65078.6140187365,6409489.1565600280,1396.0000000000,19615.3228826773,2882.0844270638,-37.9203013051,0,0
0,NO_MATCH,5,0.1145038168,744,0.0010000000,0.0000166667,0.0000000000,70854.3015694297,140630.8727705710,70854.3015860964,62397.4971420160,67073.4331313655,6623138.7951120241,1396.0000000000,27920.0000000000,3780.8684380641,2.3942805003,0,0
0,NO_MATCH,6,0.0763358779,744,0.0010000000,0.0000166667,0.0000000000,70932.7083239050,66970.4854360941,70932.7083405716,62475.9038964919,67151.8398858417,6623138.7951120017,1396.0000000000,27920.0000000000,3780.8684380640,2.3942805003,0,0
0,NO_MATCH,7,0.0992366412,744,0.0010000000,0.0000166667,0.0000000000,70691.2581093483,176982.9372506520,70691.2581260149,62234.4536819340,66910.3896712827,6623138.7951120958,13960.0000000000,13960.0000000000,3780.8684380639,5.0817957725,0,1
0,NO_MATCH,8,0.0992366412,720,0.0010000000,0.0000166667,0.0000000000,68426.3157498058,164978.1859701942,68426.3157664724,60242.3114657500,64767.4108102814,6409489.1565600857,1396.0000000000,27920.0000000000,3658.9049395243,4.5316406162,0,0
0,NO_MATCH,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000,68410.8949606854,192703.6649193132,68410.8949606854,60226.8906599634,64751.9900044956,6409489.1565600857,13959.9999999719,13960.0000003752,3658.9049561909,5.0818124390,0,0
1,MONTHLY,1,0.1450381679,744,1295.2732657811,21.5878877630,0.0000000000,71005.5127642253,75027.0846757740,71027.1006519883,62570.2962079085,67246.2321972580,6623138.7951119980,1396.0000000000,27920.0000000000,3759.2805669677,-2.4984977969,0,1
1,MONTHLY,2,0.1755725191,744,0.0010000000,0.0000166667,0.0000000000,70762.9605782566,135923.2820017423,70762.9605949232,62306.1561508441,66982.0921401947,6623138.7951120716,1396.0000000000,19941.1168268316,3780.8684380640,4.3049004221,0,0
1,MONTHLY,3,0.1068702290,696,772.0679801196,12.8677996687,0.0000000000,66555.3949383290,45325.6338016712,66568.2627379976,58657.0585806319,63031.3212803459,6195839.5180080142,1396.0000000000,27238.5215446686,3524.0736579826,0.0000000000,0,0
1,MONTHLY,4,0.0381679389,720,46609.2317476143,776.8205291269,0.0000000000,67960.6984458008,30951.1770741989,68737.5189749279,60553.5146742050,65078.6140187365,6409489.1565600159,1396.0000000000,19545.8145558347,2882.0844270641,-37.9203013051,0,0
1,MONTHLY,5,0.1145038168,744,0.0010000000,0.0000166667,0.0000000000,70854.3015694299,140630.8727705706,70854.3015860966,62397.4971420163,67073.4331313656,6623138.7951120241,1396.0000000000,27920.0000000000,3780.8684380640,2.3942805003,0,0
1,MONTHLY,6,0.0763358779,744,0.0010000000,0.0000166667,0.0000000000,70932.5349475455,66970.6588124537,70932.5349642122,62475.7305201326,67151.6665094823,6623138.7951120278,1396.0000000000,27920.0000000000,3780.8684380640,2.3942805003,0,0
1,MONTHLY,7,0.0992366412,744,0.0009999435,0.0000166657,0.0000000000,70691.2581093492,176982.9372506510,70691.2581260149,62234.4536819341,66910.3896712827,6623138.7951120967,13960.0000000000,13960.0000000000,3780.8684380649,5.0817957734,0,1
1,MONTHLY,8,0.0992366412,720,0.0009999836,0.0000166664,0.0000000000,68426.3157498048,164978.1859701949,68426.3157664712,60242.3114657498,64767.4108102801,6409489.1565599935,1396.0000000000,27920.0000000000,3658.9049395245,4.5316406165,0,0
1,MONTHLY,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000,68410.8949606599,192703.6649193408,68410.8949606599,60226.8906599362,64751.9900044672,6409489.1565600857,13960.0000000000,13960.0000000000,3658.9049561909,5.0818124392,0,0
2,HOURLY,1,0.1450381679,744,2982.4030858847,49.7067180981,0.0000000000,70983.6486632207,75048.9487767787,71033.3553813188,62576.5509372388,67252.4869265883,6623138.7951120334,1396.0000000000,27920.0000000000,3731.1617366326,-0.0000000000,0,0
2,HOURLY,2,0.1755725191,744,0.0010000000,0.0000166667,0.0000000000,70762.8053664151,135923.4372135856,70762.8053830818,62306.0009390008,66981.9369283512,6623138.7951121954,1396.0000000000,19915.6344050240,3780.8684380640,4.3051924359,0,0
2,HOURLY,3,0.1068702290,696,772.0679801196,12.8677996687,0.0000000000,66555.3949157320,45325.6338242681,66568.2627154007,58657.0585580350,63031.3212577489,6195839.5180080142,1396.0000000000,27238.5215446686,3524.0736579826,0.0000000000,0,0
2,HOURLY,4,0.0381679389,720,56075.3772402505,934.5896206708,0.0000000000,67921.6681352179,30990.2073847818,68856.2577558888,60672.2534551661,65197.3527996976,6409489.1565600280,1396.0000000000,24468.0339838966,2724.3153355201,-0.0000000000,0,0
2,HOURLY,5,0.1145038168,744,0.0010000000,0.0000166667,0.0000000000,70854.3015694297,140630.8727705710,70854.3015860963,62397.4971420160,67073.4331313655,6623138.7951120241,1396.0000000000,27920.0000000000,3780.8684380641,2.3942805003,0,0
2,HOURLY,6,0.0763358779,744,0.0010000000,0.0000166667,0.0000000000,70932.5235898375,66970.6701701626,70932.5236065042,62475.7191624247,67151.6551517727,6623138.7951120157,1396.0000000000,27920.0000000000,3780.8684380640,2.3942805003,0,0
2,HOURLY,7,0.0992366412,744,0.0010000000,0.0000166667,0.0000000000,70691.2581093483,176982.9372506520,70691.2581260149,62234.4536819340,66910.3896712827,6623138.7951120958,13960.0000000000,13960.0000000000,3780.8684380639,5.0817957725,0,1
2,HOURLY,8,0.0992366412,720,0.0010000000,0.0000166667,0.0000000000,68426.3157498060,164978.1859701942,68426.3157664726,60242.3114657500,64767.4108102813,6409489.1565600857,1396.0000000000,27920.0000000000,3658.9049395243,4.5316406162,0,0
2,HOURLY,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000,68410.8949606599,192703.6649193408,68410.8949606599,60226.8906599362,64751.9900044672,6409489.1565600857,13960.0000000000,13960.0000000000,3658.9049561909,5.0818124392,0,0
