case,case_name,scenario,probability,hours,primary_cost_star_USD,final_cost_USD,normalized_variability
0,NO_MATCH,1,0.1450381679,744,1295.2722657811,1295.2732657811,6.7299488384
0,NO_MATCH,2,0.1755725191,744,0.0000000000,0.0010000000,0.6283634614
0,NO_MATCH,3,0.1068702290,696,772.0669801196,772.0679801196,20.3054109096
0,NO_MATCH,4,0.0381679389,720,46609.2307476280,46609.2317476280,29.9390299343
0,NO_MATCH,5,0.1145038168,744,0.0000000000,0.0010000000,1.9414746096
0,NO_MATCH,6,0.0763358779,744,0.0000000000,0.0010000000,4.2792907162
0,NO_MATCH,7,0.0992366412,744,0.0000000000,0.0010000000,0.0000000000
0,NO_MATCH,8,0.0992366412,720,0.0000000000,0.0010000000,0.8517229265
0,NO_MATCH,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000
1,MONTHLY,1,0.1450381679,744,1295.2722657811,1295.2732657811,6.7212751293
1,MONTHLY,2,0.1755725191,744,0.0000000000,0.0010000000,0.6287472985
1,MONTHLY,3,0.1068702290,696,772.0669801196,772.0679801196,20.3054109574
1,MONTHLY,4,0.0381679389,720,46609.2307476143,46609.2317476143,29.9390299345
1,MONTHLY,5,0.1145038168,744,0.0000000000,0.0010000000,1.9414746096
1,MONTHLY,6,0.0763358779,744,0.0000000000,0.0010000000,4.2792300842
1,MONTHLY,7,0.0992366412,744,-0.0000000565,0.0009999435,0.0000000000
1,MONTHLY,8,0.0992366412,720,-0.0000000164,0.0009999836,0.8517229265
1,MONTHLY,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000
2,HOURLY,1,0.1450381679,744,2982.4020858847,2982.4030858847,6.7741475138
2,HOURLY,2,0.1755725191,744,0.0000000000,0.0010000000,0.6284913858
2,HOURLY,3,0.1068702290,696,772.0669801196,772.0679801196,20.3054109096
2,HOURLY,4,0.0381679389,720,56075.3762402506,56075.3772402505,32.3446094174
2,HOURLY,5,0.1145038168,744,0.0000000000,0.0010000000,1.9414746096
2,HOURLY,6,0.0763358779,744,0.0000000000,0.0010000000,4.2793336014
2,HOURLY,7,0.0992366412,744,0.0000000000,0.0010000000,0.0000000000
2,HOURLY,8,0.0992366412,720,0.0000000000,0.0010000000,0.8517229265
2,HOURLY,9,0.1450381679,720,0.0000000000,0.0000000000,0.0000000000
