scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,1,1,INC,15.4560019258,15.4560019258,1.0000000000,-0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,1,1,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,1,7,INC,15.4560019258,15.4560019258,1.0000000000,-0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,1,7,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,1,13,INC,15.4560019258,15.4560019258,1.0000000000,-0.0000000000,91.8712000000,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,1,13,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,1,19,INC,15.4560019258,15.4560019258,1.0000000000,0.0000000000,91.8712000000,91.8712000000,12959.8778868199,5.0285113584,142.8353113584
1,0.145038167939,1,MONTHLY,1,19,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,12959.8778868199,5.0285113584,142.8353113584
1,0.145038167939,1,MONTHLY,1,169,INC,17.7132323096,17.7132323096,1.0000000000,0.0000000000,89.6139696162,89.6139696162,8944.2458000445,4.9786494504,22.2148798342
1,0.145038167939,1,MONTHLY,1,169,DEC,87.2196891159,87.2196891159,1.0000000000,0.0000000000,89.6139696162,89.6139696162,8944.2458000445,4.9786494504,22.2148798342
1,0.145038167939,1,MONTHLY,1,175,INC,17.7132323096,17.7132323096,1.0000000000,0.0000000000,89.6139696162,89.6139696162,8414.0483946973,4.9786494504,25.3650198342
1,0.145038167939,1,MONTHLY,1,175,DEC,87.2196891159,87.2196891159,1.0000000000,0.0000000000,89.6139696162,89.6139696162,8414.0483946973,4.9786494504,25.3650198342
1,0.145038167939,1,MONTHLY,1,181,INC,17.7132323096,17.7132323096,1.0000000000,-0.0000000000,89.6139696162,89.6139696162,7883.8510361307,4.9786494504,130.2195598342
1,0.145038167939,1,MONTHLY,1,181,DEC,87.2196891159,87.2196891159,1.0000000000,0.0000000000,89.6139696162,89.6139696162,7883.8510361307,4.9786494504,130.2195598342
1,0.145038167939,1,MONTHLY,1,187,INC,17.7132323096,17.7132323096,1.0000000000,-0.0000000000,89.6139696162,89.6139696162,7353.6536307836,4.9786494504,39.6903798342
1,0.145038167939,1,MONTHLY,1,187,DEC,87.2196891159,87.2196891159,1.0000000000,0.0000000000,89.6139696162,89.6139696162,7353.6536307836,4.9786494504,39.6903798342
1,0.145038167939,1,MONTHLY,1,337,INC,5.9693019258,5.9693019258,1.0000000000,-0.0000000000,101.3579000000,101.3579000000,3572.4691489768,5.3437976380,24.3171976380
1,0.145038167939,1,MONTHLY,1,337,DEC,98.9636194997,98.9636194997,1.0000000000,0.0000000000,101.3579000000,101.3579000000,3572.4691489768,5.3437976380,24.3171976380
1,0.145038167939,1,MONTHLY,1,343,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,107.1525441896,107.1525441896,3875.9341610324,5.4718005292,43.1346563396
1,0.145038167939,1,MONTHLY,1,343,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,3875.9341610324,5.4718005292,43.1346563396
1,0.145038167939,1,MONTHLY,1,349,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,4487.2239704976,5.4718005292,75.0847563396
1,0.145038167939,1,MONTHLY,1,349,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,4487.2239704976,5.4718005292,75.0847563396
1,0.145038167939,1,MONTHLY,1,355,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,5098.5137799630,5.4718005292,79.0658563396
1,0.145038167939,1,MONTHLY,1,355,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,5098.5137799630,5.4718005292,79.0658563396
1,0.145038167939,1,MONTHLY,1,505,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,20380.7590165954,5.4718005292,95.0434563396
1,0.145038167939,1,MONTHLY,1,505,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,20380.7590165954,5.4718005292,95.0434563396
1,0.145038167939,1,MONTHLY,1,511,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,20992.0488260607,5.4718005292,105.6100163396
1,0.145038167939,1,MONTHLY,1,511,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,20992.0488260607,5.4718005292,105.6100163396
1,0.145038167939,1,MONTHLY,1,517,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,21603.3386355259,5.4718005292,260.9260563396
1,0.145038167939,1,MONTHLY,1,517,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,21603.3386355259,5.4718005292,260.9260563396
1,0.145038167939,1,MONTHLY,1,523,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,22214.6284449912,5.4718005292,202.8922563396
1,0.145038167939,1,MONTHLY,1,523,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,22214.6284449912,5.4718005292,202.8922563396
1,0.145038167939,1,MONTHLY,1,673,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,92.3705000000,92.3705000000,27779.5050157911,4.7307189886,4.7307189886
1,0.145038167939,1,MONTHLY,1,673,DEC,89.9762194997,89.9762194997,1.0000000000,-0.0000000000,92.3705000000,92.3705000000,27779.5050157911,4.7307189886,4.7307189886
1,0.145038167939,1,MONTHLY,1,679,INC,104.3343513004,104.3343513307,1.0000000003,-0.0000000303,2.3942805003,2.3942805003,21869.4165334086,2.3942805003,7.4941000000
1,0.145038167939,1,MONTHLY,1,679,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,2.3942805003,2.3942805003,21869.4165334086,2.3942805003,7.4941000000
1,0.145038167939,1,MONTHLY,1,685,INC,61.7159918007,61.7159918310,1.0000000005,-0.0000000303,45.0126400000,45.0126400000,16807.9596724935,3.5998003834,3.5998003834
1,0.145038167939,1,MONTHLY,1,685,DEC,42.6183594997,42.6183594997,1.0000000000,0.0000000000,45.0126400000,45.0126400000,16807.9596724935,3.5998003834,3.5998003834
1,0.145038167939,1,MONTHLY,1,691,INC,86.2573318007,86.2573318310,1.0000000004,-0.0000000303,20.4713000000,20.4713000000,12128.9433244291,2.9378368305,2.9378368305
1,0.145038167939,1,MONTHLY,1,691,DEC,18.0770194997,18.0770194997,1.0000000000,0.0000000000,20.4713000000,20.4713000000,12128.9433244291,2.9378368305,2.9378368305
1,0.145038167939,1,MONTHLY,4,1,INC,15.4560019258,15.4560019258,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,4,1,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13960.0000000000,5.0285113584,75.4298113584
1,0.145038167939,1,MONTHLY,4,7,INC,15.4560019258,15.4560019258,1.0000000000,-0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,4,7,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13626.6259622733,5.0285113584,115.2905113584
1,0.145038167939,1,MONTHLY,4,13,INC,15.4560019258,15.4560019258,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,4,13,DEC,89.4769194997,89.4769194997,1.0000000000,0.0000000000,91.8712000000,91.8712000000,13293.2519245466,5.0285113584,104.0013313584
1,0.145038167939,1,MONTHLY,4,19,INC,15.4560019258,15.4560019258,1.0000000000,-0.0000000000,91.8712000000,91.8712000000,12959.8778868199,5.0285113584,142.8353113584
