scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
4,0.038167938931,1,MONTHLY,1,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,1,1,DEC,104.9329214255,104.9329214255,1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,1,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,1,175,DEC,104.9329214255,104.9329214255,1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,1,349,INC,0.3648350240,0.3648350240,1.0000000000,-0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,1,349,DEC,104.5680864015,104.5680864015,1.0000000000,0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,1,523,INC,36.1824359258,36.1824359258,1.0000000000,-0.0000000000,71.1447660000,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,1,523,DEC,68.7504854997,68.7504854997,1.0000000000,0.0000000000,71.1447660000,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,4,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,4,1,DEC,104.9329214255,104.9329214255,1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,1,MONTHLY,4,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,4,175,DEC,104.9329214255,104.9329214255,1.0000000000,0.0000000000,107.3272019258,107.3272019258,9010.9160187655,5.6464582654,42.6452053396
4,0.038167938931,1,MONTHLY,4,349,INC,0.3648350240,0.3648350240,1.0000000000,0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,4,349,DEC,104.5680864015,104.5680864015,1.0000000000,0.0000000000,106.9623669018,106.9623669018,11545.1973683844,5.2816232414,37.9002783396
4,0.038167938931,1,MONTHLY,4,523,INC,31.3426559258,31.3426559258,1.0000000000,0.0000000000,73.5646560000,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
4,0.038167938931,1,MONTHLY,4,523,DEC,68.7504854997,68.7504854997,1.0000000000,0.0000000000,73.5646560000,71.1447660000,10566.3069484573,4.2429999199,4.2429999199
