K,scenario_count,probability_sum,total_scenario_hours,TMAX,medoid_months
5,5,0.9999999999999999,3672,744,2018-04; 2018-09; 2019-07; 2020-01; 2020-12
6,6,0.9999999999999997,4416,744,2016-03; 2019-07; 2019-11; 2020-05; 2023-04; 2024-08
7,7,0.9999999999999997,5064,744,2015-02; 2019-03; 2019-11; 2022-06; 2023-07; 2024-08; 2025-09
8,8,0.9999999999999996,5880,744,2017-03; 2017-05; 2020-04; 2021-12; 2023-07; 2024-08; 2024-11; 2025-09
9,9,0.9999999999999997,6576,744,2017-05; 2019-07; 2020-02; 2020-04; 2021-12; 2023-05; 2024-08; 2024-11; 2025-09
10,10,0.9999999999999997,7320,744,2015-10; 2017-05; 2018-09; 2019-07; 2020-02; 2020-04; 2021-08; 2021-12; 2023-05; 2024-11
11,11,0.9999999999999994,8064,744,2015-10; 2017-05; 2018-09; 2019-07; 2020-02; 2020-04; 2021-08; 2022-01; 2023-05; 2024-11; 2024-12
12,12,0.9999999999999996,8760,744,2015-06; 2015-10; 2017-05; 2018-06; 2018-09; 2020-02; 2020-04; 2021-08; 2022-01; 2023-05; 2024-11; 2024-12
13,13,0.9999999999999993,9504,744,2015-01; 2015-06; 2015-10; 2016-03; 2017-05; 2018-06; 2018-09; 2020-02; 2020-04; 2021-08; 2022-01; 2023-05; 2024-11
14,14,0.9999999999999993,10200,744,2015-01; 2015-06; 2015-10; 2016-03; 2018-06; 2018-09; 2020-04; 2021-03; 2021-08; 2022-01; 2022-04; 2023-02; 2023-05; 2024-11
15,15,0.9999999999999993,10944,744,2015-01; 2015-06; 2016-03; 2018-06; 2018-09; 2018-10; 2020-04; 2021-03; 2021-08; 2022-01; 2022-04; 2022-10; 2023-02; 2023-05; 2024-11
