s,scenario_id,month_id,monthly_probability,assigned_month_count,NPER
1,M201510,2015-10,0.099236641221374,13,744
2,M201705,2017-05,0.1145038167938931,15,744
3,M201809,2018-09,0.0839694656488549,11,720
4,M201907,2019-07,0.1526717557251908,20,744
5,M202002,2020-02,0.1068702290076335,14,696
6,M202004,2020-04,0.0381679389312977,5,720
7,M202108,2021-08,0.0610687022900763,8,744
8,M202201,2022-01,0.0610687022900763,8,744
9,M202305,2023-05,0.0687022900763358,9,744
10,M202411,2024-11,0.099236641221374,13,720
11,M202412,2024-12,0.1145038167938931,15,744
