scenario,probability,hours,h2_storage_capacity_kg,monthly_grid_import_MWh,monthly_grid_export_MWh,res_generation_MWh,res_curtailment_MWh,p2a_energy_MWh,matched_energy_MWh,nh3_kg,h2_min_kg,h2_max_kg
1,0.0687022901,744,27030.17296613,0.00000000,0.00000000,71014.59670918,154319.72463827,71014.59670918,67233.72825445,6623138.79511200,1351.50864667,13515.08648307
2,0.0687022901,720,27030.17296613,0.00000000,0.00000000,68597.62035816,118796.28216768,68597.62035816,64938.71540197,6409489.15655999,1351.50864790,13515.08648307
3,0.0992366412,744,27030.17296613,0.00000000,0.00000000,71096.40675704,195444.23225108,71096.40675750,67315.53830277,6623138.79511199,1351.50864769,16514.50375814
4,0.0687022901,744,27030.17296613,4.27072427,0.00000000,70975.45791388,95938.97527560,70979.72863870,67198.86018397,6623138.79511197,1351.50864790,27030.17296634
5,0.0992366412,744,27030.17296613,63.36790563,0.00000000,71382.93860414,74398.64567060,71446.30651023,67665.43805628,6623138.79511195,1351.50864790,27030.17296613
6,0.0916030534,720,27030.17296613,0.00000000,0.00000000,68803.98427670,129451.74311903,68803.98427670,65145.07932051,6409489.15655998,1351.50864667,13515.08648307
7,0.0839694656,720,27030.17296613,0.00000000,0.00000000,68793.66198423,193326.21681380,68793.66198423,65134.75702804,6409489.15656001,1351.50864728,14777.20654083
8,0.1068702290,696,27030.17296613,36.07479478,0.00000000,66640.60121730,45835.85581920,66676.67601309,63139.73455544,6195839.51800797,1351.50864646,22817.76562581
9,0.0381679389,720,27030.17296613,925.79327212,0.00000000,67932.38106681,31531.17155931,68858.17433893,65199.26938274,6409489.15655996,1351.50864831,17209.54056195
10,0.0610687023,744,27030.17296613,3.71233874,0.00000000,70892.80839466,172922.26876697,70896.52073340,67115.65227867,6623138.79511198,1351.50864769,13515.08648307
11,0.0534351145,744,27030.17296613,2.57279683,0.00000000,71308.47574228,67902.79446331,71311.04853912,67530.18008439,6623138.79511198,1351.50864421,27030.17296613
12,0.0610687023,744,27030.17296613,0.73025116,0.00000000,71143.59058886,66947.57850121,71144.32084002,67363.45238654,6623138.79511201,1351.50864708,14909.51552451
13,0.0992366412,720,27030.17296613,2.15704544,0.00000000,68643.30962332,163148.90341917,68645.46666876,64986.56171257,6409489.15655999,1351.50864769,16069.61459683
