K,objective_USD_per_year,pv_MW,wind_MW,h2_storage_kg,h2_storage_hours_at_rated_h2,annualized_investment_USD_per_year,pv_wind_fixed_OM_USD_per_year,h2_storage_fixed_OM_USD_per_year,expected_grid_operation_USD_per_year,expected_grid_import_MWh_per_year,expected_grid_export_MWh_per_year
5,112901733.67502126,296.58264127,533.80337231,52369.92042328,29.99775771,99668057.90874650,12912300.56124899,261849.60211638,59525.60290929,992.09338182,0.00000000
6,209783108.62154621,467.49319536,1052.02196796,50658.36711608,29.01737124,184933814.74269414,24565338.05221205,253291.83558040,30663.99105962,511.06651766,0.00000000
7,137885549.16543704,195.16457516,749.29904924,29868.51940740,17.10884036,121233576.01284446,16457521.88158988,149342.59703698,45108.67396527,751.81123275,0.00000000
8,94518907.63810264,187.40594077,484.02815893,27029.62618819,15.48270784,83252659.57265647,11093603.97199826,135148.13094096,37495.96250698,624.93270845,0.00000000
9,94506949.73419315,187.40857938,483.97770867,27030.17296613,15.48302103,83245798.60048328,11092614.86192140,135150.86483066,33385.40695792,556.42344930,0.00000000
10,94509998.30246648,187.40857938,483.97770867,27030.17296613,15.48302103,83245798.60048449,11092614.86192158,135150.86483066,36433.97522990,607.23292050,0.00000000
11,94511650.28365864,189.02056749,483.21029199,27001.85241901,15.46679888,83255139.36011431,11089420.91864067,135009.26209503,32080.74280858,534.67904681,0.00000000
12,94504716.06939146,187.40857938,483.97770867,27030.17296613,15.48302103,83245798.60048428,11092614.86192155,135150.86483066,31151.74215505,519.19570258,0.00000000
13,94506969.16509870,187.40857938,483.97770867,27030.17296613,15.48302103,83245798.60048337,11092614.86192142,135150.86483066,33404.83786332,556.74729772,0.00000000
14,95494965.57078335,186.36186962,492.06581492,22304.32870872,12.77603332,84045777.19391549,11246484.79531754,111521.64354358,91181.93800673,1519.69896678,0.00000000
15,95498046.43270321,187.51637177,491.53302680,22251.72696286,12.74590278,84053060.96172120,11244533.97920696,111258.63481428,89192.85696067,1486.54761601,0.00000000
