case,case_name,scenario,probability,hours,cost_USD,grid_import_MWh,grid_export_MWh,res_used_MWh,res_curt_MWh,p2a_MWh,el_stack_MWh,matched_MWh,nh3_kg,h2_min_kg,h2_max_kg,monthly_margin_MWh,hourly_min_margin_MW,simul_imp_exp_hours,imp_with_curt_hours
0,NO_MATCH,1,0.1450381679,744,2097.6309280993,34.9605154683,0.0000000000,70985.8306416630,74795.8816293370,71020.7911571313,62563.9867130511,67239.9227024009,6623138.7951119645,1351.5500000000,27031.0000000000,3745.9079392623,-6.7686937969,0,0
0,NO_MATCH,2,0.1755725191,744,0.0100000000,0.0001666667,0.0000000000,70781.7835504256,134062.6138845744,70781.7837170923,62324.9792730128,67000.9152623608,6623138.7951119766,1351.5500000000,22531.2349919786,3780.8682880640,4.2183705311,0,0
0,NO_MATCH,3,0.1068702290,696,774.8349401196,12.9139156687,0.0000000000,66560.9314512422,45915.6316157580,66573.8453669108,58662.6412095452,63036.9039092590,6195839.5180080095,1351.5500000000,26981.0138271023,3524.0275419826,0.0000000000,0,0
0,NO_MATCH,4,0.0381679389,720,46198.7319563646,769.9788659394,0.0000000000,67971.2014631082,31492.4451578914,68741.1803290477,60557.1760283262,65082.2753728565,6409489.1565600205,1351.5500000000,18104.5163715371,2888.9260902516,-37.9815893051,0,0
0,NO_MATCH,5,0.1145038168,744,0.0100000000,0.0001666667,0.0000000000,70847.6816042518,139473.6981047486,70847.6817709185,62390.8773268381,67066.8133161873,6623138.7951119579,1351.5500000000,27031.0000000000,3780.8682880640,2.3942805003,0,0
0,NO_MATCH,6,0.0763358779,744,0.0100000000,0.0001666667,0.0000000000,70920.9879134867,67170.3063465136,70920.9880801534,62464.1836360723,67140.1196254222,6623138.7951120688,1351.5500000000,27031.0000000000,3780.8682880639,2.3942805003,0,0
0,NO_MATCH,7,0.0992366412,744,0.0100000000,0.0001666667,0.0000000000,70691.2579593485,174346.2702937320,70691.2581260152,62234.4536819345,66910.3896712854,6623138.7951120958,13515.5000000000,13515.5000000000,3780.8682880640,5.0816457725,0,1
0,NO_MATCH,8,0.0992366412,720,0.0100000000,0.0001666667,0.0000000000,68424.1090594639,163368.2963085353,68424.1092261306,60240.1049254088,64765.2042699402,6409489.1565600857,1351.5500000000,27031.0000000000,3658.9047895243,4.4868582828,0,0
0,NO_MATCH,9,0.1450381679,720,0.0100000000,0.0001666667,0.0000000000,68410.8947939932,189880.6371820072,68410.8949606598,60226.8906599362,64751.9900044672,6409489.1565600857,13515.5000000000,13515.5000000000,3658.9047895243,5.0816457725,0,1
1,MONTHLY,1,0.1450381679,744,2097.6309185777,34.9605153096,0.0000000000,70985.8306362037,74795.8816347964,71020.7911515133,62563.9867074330,67239.9226967830,6623138.7951119645,1351.5500000000,27031.0000000000,3745.9079394210,-6.7686937969,0,0
1,MONTHLY,2,0.1755725191,744,0.0100000000,0.0001666667,0.0000000000,70781.7835533830,134062.6138816167,70781.7837200497,62324.9792759713,67000.9152653187,6623138.7951120576,1351.5500000000,22531.2349663708,3780.8682880640,4.2183705309,0,0
1,MONTHLY,3,0.1068702290,696,774.8349401196,12.9139156687,0.0000000000,66560.9314512422,45915.6316157580,66573.8453669108,58662.6412095452,63036.9039092591,6195839.5180080086,1351.5500000000,26981.0138271022,3524.0275419826,0.0000000000,0,0
1,MONTHLY,4,0.0381679389,720,46198.7319563415,769.9788659390,0.0000000000,67971.2014740650,31492.4451469345,68741.1803400041,60557.1760392815,65082.2753838131,6409489.1565600075,1351.5500000000,18104.5167936724,2888.9260902519,-37.9815893051,0,0
1,MONTHLY,5,0.1145038168,744,0.0100000000,0.0001666667,0.0000000000,70847.6816042522,139473.6981047482,70847.6817709189,62390.8773268380,67066.8133161869,6623138.7951119402,1351.5500000000,27031.0000000000,3780.8682880640,2.3942805003,0,0
1,MONTHLY,6,0.0763358779,744,0.0100000000,0.0001666667,0.0000000000,70921.1108748722,67170.1833851283,70921.1110415388,62464.3065974594,67140.2425868076,6623138.7951120548,1351.5500000000,27031.0000000000,3780.8682880640,2.3942805003,0,0
1,MONTHLY,7,0.0992366412,744,0.0099848801,0.0001664147,0.0000000000,70691.2579596004,174346.2702934801,70691.2581260150,62234.4536819341,66910.3896712828,6623138.7951120958,13515.5000000000,13515.5000000000,3780.8682883160,5.0816460245,0,1
1,MONTHLY,8,0.0992366412,720,0.0099998800,0.0001666647,0.0000000000,68424.1090594652,163368.2963085348,68424.1092261299,60240.1049254075,64765.2042699387,6409489.1565599935,1351.5500000000,27031.0000000000,3658.9047895262,4.4868582847,0,0
1,MONTHLY,9,0.1450381679,720,0.0099999321,0.0001666655,0.0000000000,68410.8947939996,189880.6371820003,68410.8949606652,60226.8906599423,64751.9900044750,6409489.1565600857,13515.4999999838,13515.5000000642,3658.9047895255,5.0816457736,0,1
