case,case_name,scenario,probability,hours,primary_cost_star_USD,final_cost_USD,cost_excess_USD,normalized_variability
0,NO_MATCH,1,0.1450381679,744,2097.6209280993,2097.6309280993,0.0100000000,7.1763734129
0,NO_MATCH,2,0.1755725191,744,0.0000000000,0.0100000000,0.0100000000,0.6999370505
0,NO_MATCH,3,0.1068702290,696,774.8249401196,774.8349401196,0.0100000000,21.2237837868
0,NO_MATCH,4,0.0381679389,720,46198.7219563646,46198.7319563646,0.0100000000,30.4682633036
0,NO_MATCH,5,0.1145038168,744,0.0000000000,0.0100000000,0.0100000000,2.0551166836
0,NO_MATCH,6,0.0763358779,744,0.0000000000,0.0100000000,0.0100000000,4.3120648457
0,NO_MATCH,7,0.0992366412,744,0.0000000000,0.0100000000,0.0100000000,0.0000000000
0,NO_MATCH,8,0.0992366412,720,0.0000000000,0.0100000000,0.0100000000,0.9263980932
0,NO_MATCH,9,0.1450381679,720,0.0000000000,0.0100000000,0.0100000000,0.0000000000
1,MONTHLY,1,0.1450381679,744,2097.6209185777,2097.6309185777,0.0100000000,7.1763734119
1,MONTHLY,2,0.1755725191,744,0.0000000000,0.0100000000,0.0100000000,0.6999370507
1,MONTHLY,3,0.1068702290,696,774.8249401196,774.8349401196,0.0100000000,21.2237837868
1,MONTHLY,4,0.0381679389,720,46198.7219563415,46198.7319563415,0.0100000000,30.4682708643
1,MONTHLY,5,0.1145038168,744,0.0000000000,0.0100000000,0.0100000000,2.0550076123
1,MONTHLY,6,0.0763358779,744,0.0000000000,0.0100000000,0.0100000000,4.3121073818
1,MONTHLY,7,0.0992366412,744,-0.0000151199,0.0099848801,0.0100000000,0.0000000000
1,MONTHLY,8,0.0992366412,720,-0.0000001200,0.0099998800,0.0100000000,0.9263980933
1,MONTHLY,9,0.1450381679,720,-0.0000000679,0.0099999321,0.0100000000,0.0000000000
2,HOURLY,1,0.1450381679,744,3637.9625990531,3637.9725990531,0.0100000000,7.3819846323
2,HOURLY,2,0.1755725191,744,0.0000000000,0.0100000000,0.0100000000,0.6999370509
2,HOURLY,3,0.1068702290,696,774.8249401196,774.8349401196,0.0100000000,21.2237837868
2,HOURLY,4,0.0381679389,720,55546.7280634258,55546.7380634254,0.0099999996,33.1944240992
2,HOURLY,5,0.1145038168,744,0.0000000000,0.0100000000,0.0100000000,2.0550076123
2,HOURLY,6,0.0763358779,744,0.0000000000,0.0100000000,0.0100000000,4.3120648468
2,HOURLY,7,0.0992366412,744,0.0000000000,0.0100000000,0.0100000000,0.0000000000
2,HOURLY,8,0.0992366412,720,0.0000000000,0.0100000000,0.0100000000,0.9263980932
2,HOURLY,9,0.1450381679,720,0.0000000000,0.0100000000,0.0100000000,0.0000000000
