case,case_name,duration_h,direction,n_scenarios,n_events,probability_coverage,weighted_mean_phys_MW,weighted_mean_rm_MW,weighted_retained_ratio,weighted_loss_MW,weighted_loss_fraction,weighted_rm_zero_fraction
1,MONTHLY,1,DEC,1,4,0.038167938931,95.79610251435,95.79610251435,1.0,0.0,0.0,0.0
1,MONTHLY,1,INC,1,4,0.038167938931,9.13681891115,9.13681891115,1.0,0.0,0.0,0.5
1,MONTHLY,4,DEC,1,4,0.038167938931,95.79610251435,95.79610251435,1.0,0.0,0.0,0.0
1,MONTHLY,4,INC,1,4,0.038167938931,7.9268739111499995,7.9268739111499995,1.0,0.0,0.0,0.5
1,MONTHLY,12,DEC,1,4,0.038167938931,62.7800442706,62.7800442706,1.0,0.0,0.0,0.0
1,MONTHLY,12,INC,1,4,0.038167938931,0.240852460975,0.240852460975,1.0,0.0,0.0,0.5
1,MONTHLY,24,DEC,1,4,0.038167938931,35.5821742526,35.5821742526,1.0,0.0,0.0,0.25
1,MONTHLY,24,INC,1,4,0.038167938931,0.240852460975,0.240852460975,1.0,0.0,0.0,0.5
2,HOURLY,1,DEC,1,4,0.038167938931,96.82389562505,0.3093506279,0.003194982250021819,96.51454499715,0.9968050177499782,0.25
2,HOURLY,1,INC,1,4,0.038167938931,8.10902580045,0.149642531275,0.01845382354890223,7.959383269175,0.9815461764510978,0.75
2,HOURLY,4,DEC,1,4,0.038167938931,96.82389562505,0.30180145385,0.003117014161656173,96.5220941712,0.9968829858383438,0.25
2,HOURLY,4,INC,1,4,0.038167938931,6.870564512925,0.149642531275,0.021780238143967706,6.72092198165,0.9782197618560323,0.75
2,HOURLY,12,DEC,1,4,0.038167938931,59.42474201895,0.30012385962500004,0.005050486538575015,59.124618159324996,0.9949495134614249,0.25
2,HOURLY,12,INC,1,4,0.038167938931,0.29928506255,0.149642531275,0.5,0.149642531275,0.5,0.75
2,HOURLY,24,DEC,1,4,0.038167938931,37.51166633385,0.299564661575,0.007985906541951644,37.212101672275004,0.9920140934580485,0.5
2,HOURLY,24,INC,1,4,0.038167938931,0.29928506255,0.10956430785,0.3660867900204531,0.1897207547,0.633913209979547,0.75
