scenario,probability,case,case_name,duration_h,direction,n_events,mean_phys_MW,mean_rm_MW,retained_ratio_of_means,mean_event_retained_ratio,mean_loss_MW,rm_zero_fraction,min_phys_MW,max_phys_MW,min_rm_MW,max_rm_MW
1,0.145038167939,1,MONTHLY,1,DEC,20,74.033714434735,74.033714434735,1.0,1.0,0.0,0.05,0.0,103.5499840574,0.0,103.5499840574
1,0.145038167939,1,MONTHLY,1,INC,20,21.2170926728,21.217092677345,1.0000000002142142,1.0000000000617058,-4.5450001096014604e-09,0.05,0.0,104.3343513004,0.0,104.3343513307
1,0.145038167939,1,MONTHLY,4,DEC,20,62.43141638457,62.43141638457,1.0,1.0,0.0,0.15,0.0,103.5499840574,0.0,103.5499840574
1,0.145038167939,1,MONTHLY,4,INC,20,18.859982865550002,18.859982865550002,1.0,1.0,0.0,0.05,0.0,86.8855338007,0.0,86.8855338007
1,0.145038167939,1,MONTHLY,12,DEC,20,47.88281465648,47.88281465648,1.0,1.0,0.0,0.2,0.0,103.5499840574,0.0,103.5499840574
1,0.145038167939,1,MONTHLY,12,INC,20,14.309968132540002,14.309968132540002,1.0,1.0,0.0,0.05,0.0,56.8199018007,0.0,56.8199018007
1,0.145038167939,1,MONTHLY,24,DEC,20,31.03585453042,31.03585453042,1.0,1.0,0.0,0.2,0.0,73.3332116285,0.0,73.3332116285
1,0.145038167939,1,MONTHLY,24,INC,20,7.438706182589999,7.438706182589999,1.0,1.0,0.0,0.15,0.0,21.1791179258,0.0,21.1791179258
1,0.145038167939,2,HOURLY,1,DEC,20,74.374894737275,66.43579762335,0.8932556860487749,0.8422997220652392,7.9390971139249995,0.05,0.0,103.5499840574,0.0,103.5499840574
1,0.145038167939,2,HOURLY,1,INC,20,20.87591237329,8.815103327705,0.42226194333827616,0.8421052631578947,12.060809045585,0.2,0.0,104.3343513004,0.0,21.1791179258
1,0.145038167939,2,HOURLY,4,DEC,20,62.594114778275014,61.12059986021001,0.9764592098908246,0.9411998986347005,1.473514918065,0.15,0.0,103.5499840574,0.0,103.5499840574
1,0.145038167939,2,HOURLY,4,INC,20,18.33045697566,7.584650527445,0.4137731283795182,0.7773868692751281,10.745806448215001,0.2,0.0,83.8813909657,0.0,21.1791179258
1,0.145038167939,2,HOURLY,12,DEC,20,47.882814656484996,44.61359692795,0.9317246124316497,0.9593701456034571,3.2692177285349984,0.2,0.0,103.5499840574,0.0,87.5850730977
1,0.145038167939,2,HOURLY,12,INC,20,13.565563875065001,5.901401402675,0.43502809444747265,0.7501124195745807,7.664162472390001,0.2,0.0,53.000438585,0.0,21.1791179258
1,0.145038167939,2,HOURLY,24,DEC,20,31.03585453042,27.579550429555002,0.8886351236929121,0.9383772152073371,3.4563041008649997,0.2,0.0,73.3332116285,0.0,54.3142569482
1,0.145038167939,2,HOURLY,24,INC,20,7.080747797679999,3.18563442943,0.4499008466978262,0.7640533735038388,3.8951133682500005,0.2,0.0,21.1791179258,0.0,18.2752499258
2,0.175572519084,1,MONTHLY,1,DEC,20,85.99355420679,85.99355420679,1.0,1.0,0.0,0.0,53.9618087765,101.981476255,53.9618087765,101.981476255
2,0.175572519084,1,MONTHLY,1,INC,20,12.31108395464,12.31108395464,1.0,1.0,0.0,0.0,2.9514451705,34.7305019258,2.9514451705,34.7305019258
2,0.175572519084,1,MONTHLY,4,DEC,20,65.17762207146,65.17762207146,1.0,1.0,0.0,0.0,29.8869212847,101.981476255,29.8869212847,101.981476255
2,0.175572519084,1,MONTHLY,4,INC,20,12.31108395464,12.31108395464,1.0,1.0,0.0,0.0,2.9514451705,34.7305019258,2.9514451705,34.7305019258
2,0.175572519084,1,MONTHLY,12,DEC,20,43.04529260370499,43.04529260370499,1.0,1.0,0.0,0.0,10.3300593472,70.9974281299,10.3300593472,70.9974281299
2,0.175572519084,1,MONTHLY,12,INC,20,12.31108395464,12.31108395464,1.0,1.0,0.0,0.0,2.9514451705,34.7305019258,2.9514451705,34.7305019258
2,0.175572519084,1,MONTHLY,24,DEC,20,24.415487371965,24.415487371965,1.0,1.0,0.0,0.0,3.6893070883,41.3052844536,3.6893070883,41.3052844536
